Candidate,18-25,25-46,46-60,60+,TUNIS1,TUNIS2,NABEUL1,NABEUL2,BIZERTE,BEJA ,JANDOUBA,KEF,SELYENA,ZAGHOUANE,SOUSSE,MONESTIR,SFAX1,SFAX2,MAHDYA,GBELI,GABES,TATAOUINE,MEDNINE,GASSRINE ,TOZEUR,GAFSA,SIDI BOU,Myrath,RevOL,edu,aryena,manouba,bnarous,kairwen,fr,nide,nahdha,nouv,choice,percentage
rahoui,1,2,3,0,1229,1761,943,710,999,1025,4014,1585,504,318,1054,704,969,882,776,241,510,119,692,754,131,702,800,1,1,1,1421,859,2011,901,1,0,0,0,0,0.81
Abbou,5,12,10,1,9116,12443,5761,3623,5767,1988,1217,1302,865,972,4416,3040,6806,11500,1747,644,2334,393,3675,1189,589,1249,1230,1,1,1,9395,5543,13597,4849,1,0,0,1,1,3.63
abir,0,0,5,20,6941,11724,10009,6904,7177,5772,2709,2464,2480,1847,9188,11169,4401,6434,4777,1392,1872,328,2183,1497,904,4570,2351,0,0,0,8192,4067,10115,2937,0,20,0,0,0,4.02
nabil,0,2,25,40,24226,21076,28032,24504,45320,24403,27427,20283,14528,13322,29463,18340,19489,21858,20346,2979,8349,757,6113,19074,5138,11073,15954,1,0,0,20926,20185,26758,29952,0,59,0,0,0,15.68
mrayhi,10,16,5,0,9253,13836,12073,6287,6906,2893,2223,6842,3904,1371,7857,6297,11676,18334,2546,651,5210,313,2312,50476,756,1096,3118,0,1,1,11794,6493,17920,4275,1,0,0,1,1,6.56
mahdi,4,5,1,0,2394,5430,2355,1813,2656,872,771,746,507,634,3634,9153,1805,2707,6250,351,710,510,1298,652,762,391,1347,1,0,1,4119,1529,3980,1256,0,1,0,0,0,1.82
jbeli,1,0,2,0,285,190,211,192,333,164,266,161,174,122,582,333,270,326,275,208,414,212,522,241,127,224,251,0,0,0,228,215,304,322,1,0,10,0,1,0.22
hamma,1,3,2,1,991,1023,1206,840,749,644,528,649,1418,310,1129,692,1303,956,684,516,566,98,449,550,226,1011,1752,1,1,1,884,711,1350,1330,1,0,0,0,0.5,0.69
marzouki,8,2,1,1,2999,2298,1301,1645,2878,1057,1243,685,767,771,2913,1224,3419,4720,1197,18326,10463,5262,12471,2204,2122,2043,2364,0,1,1,2447,1708,3704,2874,1,0,10,0,1,2.98
abdlkrim,0,6,6,15,12264,37452,14423,10634,9091,4615,4460,4501,2990,3493,53652,51137,8502,15812,24250,1933,4938,839,4121,3341,1431,3226,7909,1,0,0,27706,7847,20953,8738,0,15,0,0,0,10.73
mohsn,0,0,1,1,283,253,299,223,343,253,337,218,235,168,314,281,313,460,307,110,229,92,224,282,74,164,310,1,0,0,369,249,312,441,0,4,0,0,0,0.22
nouri,0,0,2,0,191,181,187,129,201,149,211,129,116,81,168,160,142,169,176,98,165,74,164,165,37,110,596,1,0,1,159,147,248,206,0,0,0,0,1,0.14
hamdi,0,0,1,2,392,263,410,330,487,474,447,375,340,261,742,400,695,897,637,146,501,185,598,1171,274,582,11500,0,0,0,365,346,500,1880,0,0,0,0,0.5,0.75
mourou,0,5,30,5,24072,19179,14371,10598,19685,8960,10395,6361,5563,5284,21097,17384,233385,25509,11784,9756,24099,8612,32512,11543,5072,11421,12162,0,0,0,21433,16110,28532,16289,0,0,35,0,1,12.88
monsor,0,0,0,0,1217,784,308,261,382,354,371,255,325,149,250,225,195,220,250,85,274,39,226,420,73,215,304,0,0,0,1165,494,754,427,0,0,0,0,0,0.3
chehd,10,5,18,7,15710,27018,9948,11250,8555,4815,7064,3123,4743,3826,12547,7389,18789,14456,4250,2097,5792,4852,11781,5000,2474,5270,5169,1,0,1,19135,9789,22522,8375,0,11,0,0,0.5,7.38
kays,35,20,11,10,25623,21006,36084,23064,31520,13568,20933,11964,13051,16214,43496,48592,36316,39602,29339,6558,31546,161,19999,5366,7972,7181,19124,0,1,1,27662,21792,34797,28942,1,0,25,1,1,18.4
slim riahy,0,0,0,0,340,746,367,241,327,123,164,79,192,112,298,297,1314,2381,195,506,451,58,399,143,96,140,164,1,0,0,812,199,598,231,0,0,0,0,0,0.2
salma,0,0,0,0,203,126,202,177,202,154,163,122,110,102,202,172,146,186,191,89,12,42,183,254,69,120,205,1,0,0,167,167,229,224,0,0,0,0,0,0.2
saiid marwen,0,0,0,0,237,205,575,192,215,287,206,135,192,171,198,210,146,162,196,99,184,36,153,118,59,69,176,1,0,0,187,158,668,163,0,0,0,0,0,0.1
safi,9,18,7,2,460,1190,543,299,478,214,237,150,147,101,589,410,568,1106,184,49,100,1471,180,138,56,183,150,0,1,1,777,257,422,281,1,0,0,1,1,7.11
jalloul,0,0,0,1,7546,6775,7374,5511,6448,3619,3450,2332,2403,2810,8608,6371,10944,14321,5253,6638,13907,33,10773,2752,4611,52798,15234,1,0,0,7072,6000,10571,6027,0,0,0,0,0,0.2
fakh,0,0,0,1,332,323,310,119,366,224,361,196,195,121,449,710,190,214,264,77,100,51,157,234,82,206,236,1,0,0,311,244,166,278,0,0,0,0,1,0.3
briki,0,0,0,1,172,166,199,131,221,141,165,92,107,79,163,120,152,148,144,51,144,69,162,143,43,106,152,1,0,0,140,119,298,202,0,0,0,0,0,0.1
boulibyar,0,0,0,1,242,220,182,0,169,136,164,125,94,110,183,121,195,209,153,110,123,15,615,304,49,794,267,1,0,0,192,179,0,210,0,0,0,0,0,0.1
sayf mkhlouf,15,12,0,0,7422,6069,4120,3834,7452,1850,1703,939,955,1548,6833,3614,8084,11268,4815,5229,9852,8989,14283,1869,1471,1594,2579,0,1,1,6248,4575,10202,5547,1,0,20,1,1,4.37
